1	b'RT @RoycinD: FINALLY ! Power + Volume = Screenshot. No more rooting required! #Google #ICS #galaxynexus'
1	b'Thank you Steve @apple store 5th av. http://t.co/nSAisriP'
0	b'#twitter is sooo trash ritenow with all dezz #highscoolmemories -__-'
1	b'Google Ice Cream Sandwich - sounds yummy!  What do you think? http://t.co/gMsgXcq8\n#google #Android #ice cream sandwich'
1	b"iPhone users find the nearest trash for your device it's the correct place ! #Android #Apple #Google #iPhone"
1	b"I'm starting to get really concerned, sending hashtags in emails :P #twitter is taking over our lives :D"
1	b'loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology'
1	b'Mmmm Ice Cream Sandwich #Android #Google'
1	b'Ballmer Thinks You Have To Be A Computer Scientist To Use Android http://t.co/VKV2TBcj #tech #microsoft (i agree to some extent)'
1	b'Soon. Getting ready for the party. #google #android #icecreamsandwich http://t.co/eZjCzLt6'
1	b'Lunch today: 19.00  Eating it at #Microsoft while attending #VSLive?  Priceless.'
0	b'New Galaxy Nexus: App Improvements -  New visual voicemail within the phone app #nexus #samsung #google #android bit.ly/nEJbyE'
1	b'Android Beam - sharing contacts, articles, files, and games, pretty cool #Google #ICS'
1	b"#Yahoo up 4 sale - again! Yrs back #Microsoft almost bought it & now glad it didn't. This could b deal of the year that dosent happen!"
0	b'#Mango shows #Microsoft still has the taste for smartphone success #Apple #Google http://t.co/C4fy2ffj'
1	b'Video: #Google wallet, see the wow effect http://t.co/mcW78VtG'
0	b'@Rich021 Thank you my friend!  Much appreciated and keep up the great work!  I hope you clean house on #Microsoft #Rewards here! #Retail'
1	b'@RickySinghPT got a new backside for my eye phone! V impressed with @apple'
0	b'MacBook Pros constrained, new models appear in Apples inventory system @apple @macbookpro... http://t.co/blGr9Ue5'
1	b'ICS on the Galaxy Nexus has very smooth and responsive screen and widget navigation. #Google #Android #ICS'
0	b'Can search the last 30 days of Gmail, whether connected or not. #Google #Android #ICS'
0	b'Thanks @apple my girlfriend likes #siri more than me now.'
1	b'Sweet Ice Cream Sandwich RT @Pocketlint Google Android 4.0 Ice Cream Sandwich officially detailed #google #ics http://t.co/iUY0DF5S'
1	b'Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BZNy74Nn'
1	b'Better gallery app to be included with Android 4.0 as well. #Google #Android #ICS'
1	b'The Future of #Information: Innovators from #Google, #Microsoft &#Twitter  Nov. 14-18  Info & registration at http://t.co/kJKZ77Zy #UMD'
1	b'Thank you @apple for your innovations. Exhibit A: Guy playing with Facetime instead of watching game at sports bar. http://t.co/oU7K39ge'
1	b'#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things'
1	b'#10twitterpeopleiwouldliketomeet \n@coollike @TheGadgetShow  @thelittleappkid @Jon4Lakers @BenRubery @Apple @twitter @FXhomeHitFilm  (-2)'
1	b'@iancollinsuk @apple I like what you did there...!'
1	b'enjoy  #Microsoft #Search Idea Could Let You Search Like Miley http://t.co/GWOkOCEg great'
1	b'@RIM you made it too easy for me to switch to @Apple iPhone. See ya!'
1	b'Google Earth Helps Locate Salmonella Hotspots http://t.co/mcz9RSDf #google'
0	b'#Google releases an Infinite Digital Bookcase RT @VentureBeat http://t.co/YWtVgwJY by @MeghanKel'
1	b'I keep forgettin how much i really like #Twitter lol'
1	b'@rygurl you need an @apple iphone4S with Siri!'
0	b'Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight'
1	b'Blog Post: Cool Tool : Microsoft Mouse Without Borders. http://t.co/uM860jFh #Tools #Utilities #microsoft'
1	b'one more picture of the services provided in the #cloud. I am in love with #Microsoft http://t.co/Q0QLeokZ'
